識別情報,団体コード,団体名,識別,名称,概要,通称,住所,緯度,経度,電話番号,ホームページ,バリアフリー情報
1,11224,戸田市,03 教育関連施設,図書館上戸田分館,教育関連施設,図書館上戸田分館,上戸田2-21-1,35.812593,139.680871,048-442-1211,http://www.ipal-friendship.net/,1.11E+15
2,11224,戸田市,03 教育関連施設,戸田東中学校,教育関連施設,戸田東中学校,下戸田1-11-15,35.814285,139.68544,048-442-5844,http://www.toda-c.ed.jp/site/todahigashi-j/,1.00E+15
3,11224,戸田市,03 教育関連施設,新曽北小学校,教育関連施設,新曽北小学校,新曽1367,35.817947,139.664263,048-442-3849,http://www.toda-c.ed.jp/site/niizokita-e/,1.00E+15
4,11224,戸田市,03 教育関連施設,郷土博物館,教育関連施設,郷土博物館,新曽1707,35.819168,139.663152,048-443-5600,http://www.city.toda.saitama.jp/soshiki/377/,1.11E+15
5,11224,戸田市,03 教育関連施設,彩湖自然学習センター,教育関連施設,彩湖自然学習センター,大字内谷2887,35.817855,139.634281,048-422-9991,http://www.city.toda.saitama.jp/site/saiko/,1.01E+15
6,11224,戸田市,03 教育関連施設,芦原小学校,教育関連施設,芦原小学校,新曽1961,35.824541,139.661419,048-420-2226,http://www.toda-c.ed.jp/site/asihara-e/,1.11E+15
7,11224,戸田市,03 教育関連施設,笹目中学校,教育関連施設,笹目中学校,笹目4-38-1,35.821815,139.650139,048-421-1462,http://www.toda-c.ed.jp/site/sasame-j/,1.00E+15
8,11224,戸田市,03 教育関連施設,新曽中学校,教育関連施設,新曽中学校,新曽1448,35.821128,139.662806,048-443-4512,http://www.toda-c.ed.jp/site/niizo-j/,1.00E+15
9,11224,戸田市,03 教育関連施設,喜沢中学校,教育関連施設,喜沢中学校,喜沢南1-6-29,35.806365,139.693932,048-444-6400,http://www.toda-c.ed.jp/site/kizawa-j/,1.00E+15
10,11224,戸田市,03 教育関連施設,美笹中学校,教育関連施設,美笹中学校,美女木5-12-6,35.819801,139.640449,048-421-3011,http://www.toda-c.ed.jp/site/misasa-j/,1.00E+15
11,11224,戸田市,03 教育関連施設,戸田中学校,教育関連施設,戸田中学校,本町5-8-46,35.804285,139.678125,048-442-2627,http://www.toda-c.ed.jp/site/toda-j/,1.00E+15
12,11224,戸田市,03 教育関連施設,美女木小学校,教育関連施設,美女木小学校,美女木2-33-1,35.828055,139.646794,048-421-1037,http://www.toda-c.ed.jp/site/bijyogi-e/,1.00E+15
13,11224,戸田市,03 教育関連施設,笹目東小学校,教育関連施設,笹目東小学校,笹目3-17-12,35.815205,139.650977,048-421-6674,http://www.toda-c.ed.jp/site/sasamehigasi-e/,1.10E+15
14,11224,戸田市,03 教育関連施設,喜沢小学校,教育関連施設,喜沢小学校,喜沢1-48-6,35.812097,139.696296,048-442-6383,http://www.toda-c.ed.jp/site/kizawa-e/,1.00E+15
15,11224,戸田市,03 教育関連施設,戸田南小学校,教育関連施設,戸田南小学校,本町4-8-2,35.80704,139.681139,048-442-6384,http://www.toda-c.ed.jp/site/todaminami-e/,1.10E+15
16,11224,戸田市,03 教育関連施設,戸田東小学校,教育関連施設,戸田東小学校,下戸田1-3-3,35.814105,139.687614,048-442-3911,http://www.toda-c.ed.jp/site/todahigasi-e/,1.00E+15
17,11224,戸田市,03 教育関連施設,笹目小学校,教育関連施設,笹目小学校,笹目6-9-1,35.814666,139.645049,048-421-3524,http://www.toda-c.ed.jp/site/sasame-e/,1.00E+15
18,11224,戸田市,03 教育関連施設,美谷本小学校,教育関連施設,美谷本小学校,美女木7-11-3,35.826331,139.637187,048-421-3010,http://www.toda-c.ed.jp/site/miyamoto-e/,1.00E+15
19,11224,戸田市,03 教育関連施設,新曽小学校,教育関連施設,新曽小学校,新曽南2-13-8,35.810554,139.663336,048-442-2774,http://www.toda-c.ed.jp/site/niizo-e/,1.00E+15
20,11224,戸田市,03 教育関連施設,戸田第二小学校,教育関連施設,戸田第二小学校,喜沢南2-2-37,35.80462,139.692082,048-442-2675,http://www.toda-c.ed.jp/site/toda2-e/,1.10E+15
21,11224,戸田市,03 教育関連施設,戸田第一小学校,教育関連施設,戸田第一小学校,上戸田3-7-5,35.813372,139.676551,048-442-2268,http://www.toda-c.ed.jp/site/toda1-e/,1.00E+15
22,11224,戸田市,03 教育関連施設,学校給食センター,教育関連施設,学校給食センター,新曽南4-3-45,35.806592,139.663039,048-442-5065,http://www.city.toda.saitama.jp/soshiki/374/,1.11E+15
23,11224,戸田市,03 教育関連施設,教育センター,教育関連施設,教育センター,上戸田1-19-14,35.818044,139.677391,048-434-5660,http://www.toda-c.ed.jp/,1.11E+13
24,11224,戸田市,03 教育関連施設,図書館,教育関連施設,図書館,新曽1707,35.819168,139.663152,図書館048-442-2800郷土博物館048-443-5600,https://library.toda.saitama.jp/,1.11E+15
